planner,selected_score,selected_model_return,selected_true_return,samples_evaluated,first_action,selected_tail_gap,elite_model_error_mean,elite_pocket_mean,elite_disagreement_mean,elite_diversity,proposal_drift,proposal_std_mean,config,seed,optimal_true_return,optimal_first_action,repair,regret,label
static_equal_budget,5.743835908290903,5.743835908290903,5.743835908288869,1280,1.0,2.0339285811132868e-12,4.127512158307091,0.2683486022496041,0.6980022583847701,0.6557651692716184,0.2213549370482443,0.6557651692716184,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 1280, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 4, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",4,7.808428259246064,1.0,,2.064592350957195,equal-budget static
cem,6.785591685237977,6.785591685237977,-5.359598564949677,1280,-0.6140415568544207,12.145190250187651,9.916573486195366,0.6273230269741212,1.5351382471992825,0.3188116290541343,1.194071893181612,0.3188116290541343,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 256, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 4, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",4,7.808428259246064,1.0,none,13.168026824195742,vanilla CEM
cem_uncertainty,7.57443756253842,7.620689130153402,7.620689130152135,1280,0.996495227167085,1.267430604912079e-12,7.75887046918692e-11,2.245042126478305e-14,0.0349310607634091,0.1115511420349332,1.6661613532794983,0.1115511420349332,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 256, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 4, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",4,7.808428259246064,1.0,uncertainty_pessimism,0.1877391290939289,uncertainty CEM
cem_diversity,6.934714174790531,6.934714174790531,-5.388034757400517,1280,-1.0,12.322748932191049,9.78584680655667,0.6169173998380616,1.477859559048238,0.3414893077096123,1.1966124404374834,0.3414893077096123,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 256, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 4, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",4,7.808428259246064,1.0,elite_diversity_floor,13.19646301664658,diversity floor
cem_veto,7.645072667950331,7.645072667950331,7.645072667946997,1280,1.0,3.3342217875542697e-12,1.3935997655013264e-11,1.7834137034330706e-15,0.0355682194017332,0.1093622937316139,1.6915871639983164,0.1093622937316139,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 256, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 4, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",4,7.808428259246064,1.0,model_disagreement_veto,0.1633555912990667,disagreement veto
cem_shadow,7.555036245365649,7.635466334366185,7.635466334363386,1280,1.0,2.7986502004750946e-12,1.24483632632724e-08,5.7573985473472135e-11,0.0405484295799942,0.1754263631385075,1.641889157519847,0.1754263631385075,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 256, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 4, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",4,7.808428259246064,1.0,shadow_realism,0.1729619248826779,shadow realism
cem_conservative,6.600944437534388,6.600944437534388,6.6009444375308135,1280,1.0,3.574918139293004e-12,1.5390846128045206,0.0996809610145981,0.3070485914844434,0.6144810105475021,1.212961251229172,1.106065818985504,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 256, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 4, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",4,7.808428259246064,1.0,conservative_refit_temperature,1.2074838217152504,conservative CEM
cem_pilot_calibrated,7.649007462770731,7.649007462770731,7.64900746276742,1280,1.0,3.311129148642067e-12,2.141282023488272e-11,1.943150377398657e-15,0.0358083151572218,0.1040853062356136,1.6742344553461732,0.1040853062356136,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 256, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 4, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",4,7.808428259246064,1.0,pilot_label_calibration,0.1594207964786438,pilot calibrated
cem_combined_repair,6.917610451130691,7.014998520931785,7.014998520928618,1280,1.0,3.1672442446506466e-12,2.215470439582444e-09,2.53424219504439e-10,0.0535210326237014,0.2787563820235143,1.6844707272559163,0.4041967539340958,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 256, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 4, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",4,7.808428259246064,1.0,combined,0.793429738317446,combined repair
random_shooting,5.406600686456369,5.406600686456369,-4.536097446128626,256,-0.9084532426168676,9.942698132584995,4.788048713746101,0.3154505194454166,0.8211679861181695,0.5941974113923469,0.5345267610221595,0.5941974113923469,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 256, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 5, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",5,7.807018846698515,1.0,,12.34311629282714,random shooting
static_proposal,5.692254398517724,5.692254398517724,-3.909093804329856,256,-0.5640082258516519,9.60134820284758,4.038149058007385,0.2611547192141643,0.6943324861231629,0.6320858262131854,0.3473102480971573,0.6320858262131854,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 256, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 5, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",5,7.807018846698515,1.0,,11.716112651028372,static proposal
static_equal_budget,6.479088316089884,6.479088316089884,-5.401676546382205,1280,-0.2739832381950931,11.88076486247209,3.6912268493196807,0.2397778240143782,0.6408489277926819,0.6756321946097007,0.2297312613480949,0.6756321946097007,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 1280, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 5, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",5,7.807018846698515,1.0,,13.20869539308072,equal-budget static
cem,6.85126453737161,6.85126453737161,6.851264537349561,1280,0.8701984599225256,2.204902926905561e-11,9.481852568062372e-10,1.265539858394797e-12,0.0488627580985966,0.2188000720955124,1.6571696134410736,0.2188000720955124,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 256, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 5, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",5,7.807018846698515,1.0,none,0.9557543093489542,vanilla CEM
cem_uncertainty,7.637600606201014,7.682846023527253,7.6828460235239,1280,1.0,3.3528735343679728e-12,7.323639131037943e-11,2.5532280782147092e-14,0.0340762427037191,0.103395515191829,1.6690686652903013,0.103395515191829,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 256, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 5, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",5,7.807018846698515,1.0,uncertainty_pessimism,0.1241728231746153,uncertainty CEM
cem_diversity,6.388505946903379,6.388505946903379,-4.768186138308865,1280,-0.7662495689778998,11.156692085212244,7.333718239352117,0.4782360980785258,1.1798826149866943,0.4448711883556318,0.9602973110057124,0.4448711883556318,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 256, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 5, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",5,7.807018846698515,1.0,elite_diversity_floor,12.57520498500738,diversity floor
cem_veto,7.588873228747745,7.588873228747745,7.588873228745397,1280,1.0,2.347455563267431e-12,4.919640763144064e-11,7.827666192877828e-15,0.0332363199264825,0.0904015989060357,1.6756217738967216,0.0904015989060357,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 256, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 5, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",5,7.807018846698515,1.0,model_disagreement_veto,0.2181456179531178,disagreement veto
